Legajo,Nombre del empleado,Días de vacaciones disponibles
001,Ricardo Fernández (Director),28
002,Laura Méndez (Subdirectora),28
003,Martín Salas (Jefe de Diseño),21
004,Camila Torres,14
005,Nicolás Vega,14
006,Julieta Ríos,21
007,Tomás Herrera,14
008,Sergio Molina (Jefe de Producción),28
009,Carla Benítez,21
010,Emanuel Castro,14
011,Paula Giménez,14
012,Diego Acosta,21
013,Florencia Navarro,14
014,Gustavo Peralta,21
015,Micaela Suárez,14
016,Luciano Cabrera,14
017,Valeria Sosa,21
018,Andrés Paredes,14
019,Rocío Medina,14
020,Sebastián Quiroga,21
021,Daniela Ibarra,14
022,Federico Luna,14
023,Natalia Campos,21
024,Javier Funes,14
025,Belén Ortiz,14
026,Mariano Delgado,21
027,Sofía Ramírez,14
028,Cristian Aguirre,14
029,Verónica Silva,21
030,Alan Pereyra,14
031,Cecilia Roldán,14
032,Hugo Benítez,21
033,Melina Ferreyra,14
034,Pablo Villalba,14
035,Yanina Toledo,21
036,Iván Correa,14
037,Sandra Lucero,14
038,Gabriel Núñez,21
039,Romina Farías (Jefe de Ventas),21
040,Leandro Paz,14
041,Milagros Arias,14
042,Kevin Domínguez,21
043,Agustina Bravo,14
044,Franco Leiva,14
045,Noelia Cejas,21
046,Esteban Riquelme,14
047,Patricia Godoy (Jefa Contable),28
048,Bruno Méndez,14
049,Karen Lozano,14
050,Marcelo Soria,21
